Common_name,Scientific_name,Species_group,Country
Abarema obovata,Abarema obovata,Plants,Brazil
Abarema filamentosa,Abarema filamentosa,Plants,Brazil
Abarema cochliacarpos,Abarema cochliacarpos,Plants,Brazil
Abarema turbinata,Abarema turbinata,Plants,Brazil
Adelophryne maranguapensis,Adelophryne maranguapensis,Amphibians,Brazil
Adelophryne baturitensis,Adelophryne baturitensis,Amphibians,Brazil
Aiouea macedoana,Aiouea macedoana,Plants,Brazil
Aiouea bracteata,Aiouea bracteata,Plants,Brazil
Alagoas Antwren,Myrmotherula snowi,Birds,Brazil
Alagoas Curassow,Mitu mitu,Birds,Brazil
Alagoas Foliage-gleaner,Philydor novaesi,Birds,Brazil
Alagoas Tyrannulet,Phylloscartes ceciliae,Birds,Brazil
Albizia edwarllii,Albizia edwarllii,Plants,"Argentina, Brazil"
Albizia burkartiana,Albizia burkartiana,Plants,Brazil
Alcatrazes Lancehead,Bothrops alcatraz,Reptiles,Brazil
Allobates subfolionidificans,Allobates subfolionidificans,Amphibians,Brazil
Allobates olfersioides,Allobates olfersioides,Amphibians,Brazil
Amburana cearensis,Amburana cearensis,Plants,"Argentina, Bolivia, Brazil, Paraguay, Peru"
Amburana acreana,Amburana acreana,Plants,"Bolivia, Brazil, Peru"
Andean Condor,Vultur gryphus,Birds,Colombia to Chile and Argentina
Andean Flamingo,Phoenicoparrus andinus,Birds,"Argentina, Bolivia, Brazil, Chile, Peru"
Angular Angelshark,Squatina punctata,Fishes,"Argentina, Brazil, Uruguay"
Aniba santalodora,Aniba santalodora,Plants,Brazil
Aniba rosaeodora,Aniba rosaeodora,Plants,"Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela"
Aniba pedicellata,Aniba pedicellata,Plants,Brazil
Aniba intermedia,Aniba intermedia,Plants,Brazil
Aniba ferrea,Aniba ferrea,Plants,Brazil
Annual Tropical Killifish,Cynolebias constanciae,Fishes,Brazil
Anthias salmopunctatus,Anthias salmopunctatus,Fishes,Brazil
Aplastodiscus eugenioi,Aplastodiscus eugenioi,Amphibians,Brazil
Apron Ray,Discopyge tschudii,Fishes,"Argentina, Brazil, Chile, Peru, Uruguay"
Arapatiella psilophylla,Arapatiella psilophylla,Plants,Brazil
Arara Nut Tree,Joannesia princeps,Plants,Brazil
Araripe Manakin,Antilophia bokermanni,Birds,Brazil
Araucaria angustifolia,Araucaria angustifolia,Plants,"Argentina, Brazil, Paraguay"
Araucaria Tit-spinetail,Leptasthenura setaria,Birds,"Argentina, Brazil"
Arawacus aethesa,Arawacus aethesa,Insects,Brazil
Argentine Angel Shark,Squatina argentina,Fishes,"Argentina, Brazil, Uruguay"
Arrojadoa dinae,Arrojadoa dinae,Plants,Brazil
Arrojadoa bahiensis,Arrojadoa bahiensis,Plants,Brazil
Arthrocereus rondonianus,Arthrocereus rondonianus,Plants,Brazil
Arthrocereus melanurus,Arthrocereus melanurus,Plants,Brazil
Arthrocereus glaziovii,Arthrocereus glaziovii,Plants,Brazil
Aspidosperma polyneuron,Aspidosperma polyneuron,Plants,"Argentina, Bolivia, Brazil, Colombia, Paraguay, Peru"
Astrocaryum minus,Astrocaryum minus,Plants,"Brazil, French Guiana"
Atlantic Petrel,Pterodroma incerta,Birds,"Argentina, Brazil, Falkland Islands (Malvinas), Namibia, South Africa, St. Helena, United States/US Territory, Uruguay"
Atlantic Royal Flycatcher,Onychorhynchus swainsoni,Birds,Brazil
Atlantic Titi,Callicebus personatus,Mammals,Brazil
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Birds,"Angola, Argentina, Brazil, Mozambique, Namibia, South Africa, St. Helena, Uruguay"
Ayres Black Uakari,Cacajao ayresi,Mammals,Brazil
Azure Jay,Cyanocorax caeruleus,Birds,"Argentina, Brazil"
Azure-shouldered Tanager,Thraupis cyanoptera,Birds,Brazil
Bactris pickelii,Bactris pickelii,Plants,Brazil
Bahia Antwren,Herpsilochmus pileatus,Birds,Brazil
Bahia Spinetail,Synallaxis whitneyi,Birds,Brazil
Bahia Tapaculo,Scytalopus psychopompus,Birds,Brazil
Bahia Tyrannulet,Phylloscartes beckeri,Birds,Brazil
Bald Parrot,Gypopsitta aurantiocephala,Birds,Brazil
Bald Uakari,Cacajao calvus,Mammals,"Brazil, Colombia, Peru"
Bananal Antbird,Cercomacra ferdinandi,Birds,Brazil
Banara brasiliensis,Banara brasiliensis,Plants,Brazil
Band-tailed Antwren,Myrmotherula urosticta,Birds,Brazil
Banded Cotinga,Cotinga maculata,Birds,Brazil
Bare-throated Bellbird,Procnias nudicollis,Birds,"Argentina, Brazil, Paraguay"
Baru Tree,Dipteryx alata,Plants,Brazil
Basking Shark,Cetorhinus maximus,Fishes,"Africa, Asia, Australia, Central America, Europe, Middle East, North America (including United States), South America"
Bauhinia integerrima,Bauhinia integerrima,Plants,Brazil
Bay-capped Wren-spinetail,Spartonoica maluroides,Birds,"Argentina, Brazil, Uruguay"
Bay-ringed Tyrannulet,Phylloscartes sylviolus,Birds,"Argentina, Brazil, Paraguay"
Bearded Saki,Chiropotes satanas,Mammals,Brazil
Bearded Tachuri,Polystictus pectoralis,Birds,"Argentina, Bolivia, Brazil, Colombia, French Guiana, Guyana, Paraguay, Suriname, Uruguay, Venezuela"
Bentfin Devil Ray,Mobula thurstoni,Fishes,"Africa, Asia, Australia, Central America, Middle East, North America, South America"
Bicuiba oleifera,Bicuiba oleifera,Plants,Brazil
Big Leaf Mahogany,Swietenia macrophylla,Plants,"Central America, North America, South America"
Big-headed Amazon River Turtle,Peltocephalus dumerilianus,Reptiles,"Brazil, Colombia, French Guiana, Venezuela"
Bigeye Tuna,Thunnus obesus,Fishes,"Africa, American Samoa, Asia, Australia, Central America, Europe, Middle East, North America - Including United States (Hawaii), Oceanic, South America"
Bignose Fanskate,Sympterygia acuta,Fishes,"Argentina, Brazil, Uruguay"
Black Caiman,Melanosuchus niger,Reptiles,Amazon Basin
Black Grouper,Epinephelus nigritus,Fishes,"Central and South America, Mexico, United States"
Black Rail,Laterallus jamaicensis,Birds,"Central America, North America (including United States), South America"
Black Rockfish,Mycteroperca bonaci,Fishes,"Central America, North America (including United States), Oceanic, South America"
Black Squirrel Monkey,Saimiri vanzolinii,Mammals,Brazil
Black-and-gold Cotinga,Tijuca atra,Birds,Brazil
Black-and-tawny Seedeater,Sporophila nigrorufa,Birds,"Bolivia, Brazil"
Black-and-white Monjita,Xolmis dominicanus,Birds,"Argentina, Brazil, Uruguay"
Black-and-white Tanager,Conothraupis speculigera,Birds,"Bolivia, Brazil, Ecuador, Peru"
Black-backed Tanager,Tangara peruviana,Birds,Brazil
Black-bellied Seedeater,Sporophila melanogaster,Birds,Brazil
Black-browed Albatross,Thalassarche melanophrys,Birds,"Africa, Antarctica, Australia, Europe, Oceanic, South America"
Black-capped Piprites,Piprites pileata,Birds,"Argentina, Brazil"
Black-crowned Dwarf Marmoset,Callibella humilis,Mammals,Brazil
Black-faced Black Spider Monkey,Ateles chamek,Mammals,"Bolivia, Brazil, Peru"
Black-fronted Titi Monkey,Callicebus nigrifrons,Mammals,Brazil
Black-handed Tamarin,Saguinus niger,Mammals,Brazil
Black-headed Berryeater,Carpornis melanocephala,Birds,Brazil
Black-headed Uakari,Cacajao melanocephalus,Mammals,"Brazil, Colombia, Venezuela"
Black-hooded Antwren,Formicivora erythronotos,Birds,Brazil
Black-horned Capuchin,Cebus nigritus,Mammals,"Argentina, Brazil"
Black-legged Dacnis,Dacnis nigripes,Birds,Brazil
Black-masked Finch,Coryphaspiza melanotis,Birds,"Argentina, Bolivia, Brazil, Paraguay, Peru"
Blackish-blue Seedeater,Amaurospiza moesta,Birds,"Argentina, Brazil, Paraguay"
Blond Titi Monkey,Callicebus barbarabrownae,Mammals,Brazil
Blonde Capuchin,Cebus flavius,Mammals,Brazil
Blue Finch,Porphyrospiza caerulescens,Birds,"Bolivia, Brazil"
Blue-bellied Parrot,Triclaria malachitacea,Birds,Brazil
Blue-eyed Ground Dove,Columbina cyanopis,Birds,Brazil
Blue-headed Macaw,Primolius couloni,Birds,"Bolivia, Brazil, Peru"
Blue-throated Parakeet,Pyrrhura cruentata,Birds,Brazil
Blue-winged Macaw,Primolius maracana,Birds,"Argentina, Brazil, Paraguay"
Bokermann's Bromeliad Frogs,Crossodactylodes bokermanni,Amphibians,Brazil
Bokermannohyla izecksohni,Bokermannohyla izecksohni,Amphibians,Brazil
Bokermannohyla vulcaniae,Bokermannohyla vulcaniae,Amphibians,Brazil
Botucatu Escuerzo,Odontophrynus moratoi,Amphibians,Brazil
Brasilia Lyrefin,Cynolebias boitonei,Fishes,Brazil
Brasilia Tapaculo,Scytalopus novacapitalis,Birds,Brazil
Brasilicereus markgrafii,Brasilicereus markgrafii,Plants,Brazil
Brazil-nut Tree,Bertholletia excelsa,Plants,"Bolivia, Brazil, Colombia, French Guiana, Guyana, Peru, Suriname, Venezuela"
Brazilian Arboreal Mouse,Rhagomys rufescens,Mammals,Brazil
Brazilian Black-tyrant,Knipolegus franciscanus,Birds,Brazil
Brazilian Blind Electric Ray,Benthobatis kreffti,Fishes,Brazil
Brazilian Button Frog,Cycloramphus brasiliensis,Amphibians,Brazil
Brazilian Cownose Ray,Rhinoptera brasiliensis,Fishes,Brazil
Brazilian Funnel-eared Bat,Natalus espiritosantensis,Mammals,Brazil
Brazilian Giant Tortoise,Geochelone denticulata,Reptiles,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, Venezuela, West Indies (Dominica)"
Brazilian Guitarfish,Rhinobatos horkelii,Fishes,"Argentina, Brazil"
Brazilian Merganser,Mergus octosetaceus,Birds,"Argentina, Brazil, Paraguay"
Brazilian Rain Tree,Chloroleucon tortum,Plants,Brazil
Brazilian River Frog,Thoropa saxatilis,Amphibians,Brazil
Brazilian Sideneck Turtle,Phrynops hogei,Reptiles,Brazil
Brazilian Snake-necked Turtle,Hydromedusa maximiliani,Reptiles,Brazil
Brazilian Three-banded Armadillo,Tolypeutes tricinctus,Mammals,Brazil
Brazilian Three-toed Sloth,Bradypus torquatus,Mammals,Brazil
Broad-snouted Caiman,Caiman latirostris,Reptiles,"Argentina, Brazil, Paraguay, Uruguay"
Bronze Whaler,Carcharhinus brachyurus,Fishes,"Africa, Asia, Australia, Europe, Middle East, North America (including United States), South America"
Brosimum glaziovii,Brosimum glaziovii,Plants,Brazil
Brown Pelican,Pelecanus occidentalis,Birds,"Coastal Central and South America, USA (Carolinas to Texas, California, Oregon, Washington), West Indies"
Brown Tanager,Orchesticus abeillei,Birds,Brazil
Brown-backed Parrotlet,Touit melanonotus,Birds,Brazil
Brownstriped Grunt,Anisotremus moricandi,Fishes,"Brazil, Colombia, Panama, Venezuela"
Buchenavia rabelloana,Buchenavia rabelloana,Plants,Brazil
Buchenavia pabstii,Buchenavia pabstii,Plants,Brazil
Buchenavia iguaratensis,Buchenavia iguaratensis,Plants,Brazil
Buchenavia hoehneana,Buchenavia hoehneana,Plants,Brazil
Buff-breasted Sandpiper,Tryngites subruficollis,Birds,"Africa, Australia, Central America, Europe, Middle East, North America (including United States Territory), Oceanic, South America"
Buff-breasted Tody-tyrant,Hemitriccus mirandae,Birds,Brazil
Buff-browed Chachalaca,Ortalis superciliaris,Birds,Brazil
Buff-headed Capuchin,Cebus xanthosternos,Mammals,Brazil
Buff-throated Purpletuft,Iodopleura pipra,Birds,Brazil
Buffy-fronted Seedeater,Sporophila frontalis,Birds,"Argentina, Brazil, Paraguay"
Buffy-headed Marmoset,Callithrix flaviceps,Mammals,Brazil
Bush Dog,Speothos venaticus,Mammals,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Panama, Paraguay, Peru, Suriname, Venezuela"
Button Cactus,Melocactus violaceus,Plants,Brazil
Caatinga Antwren,Herpsilochmus sellowi,Birds,Brazil
Caesalpinia paraguariensis,Caesalpinia paraguariensis,Plants,"Argentina, Bolivia, Brazil, Paraguay"
Caesalpinia echinata,Caesalpinia echinata,Plants,Brazil
Calycorectes sellowianus,Calycorectes sellowianus,Plants,Brazil
Calycorectes schottianus,Calycorectes schottianus,Plants,Brazil
Calycorectes duarteanus,Calycorectes duarteanus,Plants,Brazil
Calycorectes australis,Calycorectes australis,Plants,Brazil
Campo Grande Button Frog,Cycloramphus semipalmatus,Amphibians,Brazil
Campo Grande Treefrog,Hypsiboas cymbalum,Amphibians,Brazil
Campo Miner,Geositta poeciloptera,Birds,"Bolivia, Brazil"
Campomanesia neriiflora,Campomanesia neriiflora,Plants,Brazil
Campomanesia laurifolia,Campomanesia laurifolia,Plants,Brazil
Campomanesia hirsuta,Campomanesia hirsuta,Plants,Brazil
Campomanesia espiritosantensis,Campomanesia espiritosantensis,Plants,Brazil
Campomanesia aromatica,Campomanesia aromatica,Plants,Brazil
Campomanesia viatoris,Campomanesia viatoris,Plants,Brazil
Campomanesia phaea,Campomanesia phaea,Plants,Brazil
Canebrake Groundcreeper,Clibanornis dendrocolaptoides,Birds,"Argentina, Brazil, Paraguay"
Cape Shark,Squalus acanthias,Fishes,"Africa, Asia, Australia, Central America, Europe, Middle East, North America (including United States), South America"
Caribbean Electric Ray,Narcine bancroftii,Fishes,"Brazil, Florida, French Guiana, Guyana, Mississippi, New Mexico, North Carolina, Suriname, Venezuela"
Caribbean Reef Shark,Carcharhinus perezi,Fishes,"Central America, North America (including United States), Oceanic, South America"
Carvalho's Slider,Trachemys adiutrix,Reptiles,Brazil
Carvalhoi Tree Toad,Dendrophryniscus carvalhoi,Amphibians,Brazil
Castalia martensi,Castalia martensi,Clams,Brazil
Cedrela lilloi,Cedrela lilloi,Plants,South America
Cedro Misionero,Cedrela fissilis,Plants,"Central America, South America"
Central Humming Frog,Chiasmocleis carvalhoi,Amphibians,Brazil
Cereus mirabella,Cereus mirabella,Plants,Brazil
Cerulean Warbler,Setophaga cerulea,Birds,"Bahamas, Belize, Bolivia, Brazil, Canada, Colombia, Costa Rica, Cuba, Ecuador, Guatemala, Honduras, Jamaica, Mexico, Netherlands Antilles, Panama, Peru, United States, Venezuela"
Chaco Eagle,Buteogallus coronatus,Birds,"Argentina, Bolivia, Brazil, Paraguay"
Chaetodon obliquus,Chaetodon obliquus,Fishes,Brazil
Cherry-throated Tanager,Nemosia rourei,Birds,Brazil
Chestnut Seedeater,Sporophila cinnamomea,Birds,"Argentina, Brazil, Paraguay, Uruguay"
Chestnut-bellied Guan,Penelope ochrogaster,Birds,Brazil
Chestnut-throated Spinetail,Synallaxis cherriei,Birds,"Brazil, Colombia, Ecuador, Peru"
Chilean Flamingo,Phoenicopterus chilensis,Birds,"Argentina, Bolivia, Brazil, Chile, Ecuador, Falkland Islands (Malvinas), Paraguay, Peru, Uruguay"
Chloroleucon extortum,Chloroleucon extortum,Plants,Brazil
Christmas Cactus,Schlumbergera kautskyi,Plants,Brazil
Chrysophyllum superbum,Chrysophyllum superbum,Plants,Brazil
Chrysophyllum subspinosum,Chrysophyllum subspinosum,Plants,Brazil
Chrysophyllum splendens,Chrysophyllum splendens,Plants,Brazil
Chrysophyllum paranaense,Chrysophyllum paranaense,Plants,Brazil
Chrysophyllum imperiale,Chrysophyllum imperiale,Plants,Brazil
Chrysophyllum durifructum,Chrysophyllum durifructum,Plants,Brazil
Chrysophyllum acreanum,Chrysophyllum acreanum,Plants,Brazil
Cigar-box Wood,Cedrela odorata,Plants,"Central America, North America, South America"
Cinereous Warbling-finch,Poospiza cinerea,Birds,Brazil
Cinnamon-vented Piha,Lipaugus lanioides,Birds,Brazil
Cipo Canastero,Asthenes luizae,Birds,Brazil
Cipocereus pusilliflorus,Cipocereus pusilliflorus,Plants,Brazil
Cipocereus laniflorus,Cipocereus laniflorus,Plants,Brazil
Cipocereus crassisepalus,Cipocereus crassisepalus,Plants,Brazil
Cipocereus bradei,Cipocereus bradei,Plants,Brazil
Cleft-headed Juliomys,Juliomys rimofrons,Mammals,Brazil
Coal-crested Finch,Charitospiza eucosma,Birds,"Argentina, Bolivia, Brazil"
Coastal Black-handed Titi,Callicebus melanochir,Mammals,Brazil
Cock-tailed Tyrant,Alectrurus tricolor,Birds,"Argentina, Bolivia, Brazil, Paraguay"
Coimbra-filho's Titi Monkey,Callicebus coimbrai,Mammals,Brazil
Colares Stingray,Dasyatis colarensis,Fishes,"Brazil, Venezuela"
Coleocephalocereus purpureus,Coleocephalocereus purpureus,Plants,Brazil
Common Woolly Monkey,Lagothrix lagotricha,Mammals,"Brazil, Colombia, Ecuador, Peru"
Cone-billed Tanager,Conothraupis mesoleuca,Birds,Brazil
Cone-Like Turk's Head Cactus,Melocactus conoideus,Plants,Brazil
Couepia schottii,Couepia schottii,Plants,Brazil
Couepia joaquinae,Couepia joaquinae,Plants,Brazil
Cougar,Puma concolor,Mammals,North and Central America
Couratari atrovinosa,Couratari atrovinosa,Plants,Brazil
Couratari asterotricha,Couratari asterotricha,Plants,Brazil
Couratari asterophora,Couratari asterophora,Plants,Brazil
Couratari tauari,Couratari tauari,Plants,Brazil
Couratari pyramidata,Couratari pyramidata,Plants,Brazil
Couratari prancei,Couratari prancei,Plants,"Brazil, Peru"
Couratari longipedicellata,Couratari longipedicellata,Plants,Brazil
Couratari guianensis,Couratari guianensis,Plants,"Brazil, Colombia, Costa Rica, French Guiana, Guyana, Panama, Peru, Suriname, Venezuela"
Coussapoa floccosa,Coussapoa floccosa,Plants,Brazil
Coussapoa curranii,Coussapoa curranii,Plants,Brazil
Cowfish,Rhinoptera bonasus,Fishes,"Belize, Brazil, Colombia, Costa Rica, Cuba, Florida, French Guiana, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Suriname, Trinidad and Tobago, Venezuela"
Cratylia bahiensis,Cratylia bahiensis,Plants,Brazil
Creamy-bellied Gnatcatcher,Polioptila lactea,Birds,"Argentina, Brazil, Paraguay"
Crested Capuchin,Cebus robustus,Mammals,Brazil
Crossband Rockfish,Mycteroperca interstitialis,Fishes,"Central America, North America (including United States), Oceanic, South America"
Crownbeard,Verbesina pseudoclausseni,Plants,Brazil
Cruz's Treefrog,Aplastodiscus cavicola,Amphibians,Brazil
Cubera Snapper,Lutjanus cyanopterus,Fishes,"Central America, North America (including United States), South America"
Curry Shark,Sphyrna tudes,Fishes,"Brazil, French Guiana, Guyana, Suriname, Trinidad and Tobago, Uruguay, Venezuela"
Cyanophrys bertha,Cyanophrys bertha,Insects,Brazil
Daggernose Shark,Isogomphodon oxyrhynchus,Fishes,"Brazil, French Guiana, Guyana, Suriname, Trinidad and Tobago, Venezuela"
Dark-throated Seedeater,Sporophila ruficollis,Birds,"Argentina, Bolivia, Brazil, Paraguay, Uruguay"
Dekeyser's Nectar Bat,Lonchophylla dekeyseri,Mammals,Brazil
Devil Fish,Manta birostris,Fishes,"Africa, Asia, Australia, Central America, Europe, Hawaii, Middle East, North America, Oceanic, South America"
Dicypellium caryophyllaceum,Dicypellium caryophyllaceum,Plants,Brazil
Diplodon expansus,Diplodon expansus,Clams,Brazil
Diplodon dunkerianus,Diplodon dunkerianus,Clams,Brazil
Diplodon pfeifferi,Diplodon pfeifferi,Clams,Brazil
Diplodon fontaineanus,Diplodon fontaineanus,Clams,Brazil
Discocactus zehntneri,Discocactus zehntneri,Plants,Brazil
Discocactus pseudoinsignis,Discocactus pseudoinsignis,Plants,Brazil
Discocactus placentiformis,Discocactus placentiformis,Plants,Brazil
Discocactus horstii,Discocactus horstii,Plants,Brazil
Discocactus bahiensis,Discocactus bahiensis,Plants,Brazil
Dixon's Ground Snake,Liophis atraventer,Reptiles,Brazil
Donkey Fish,Dermatolepis inermis,Fishes,"Central and South America, North America (including United States), Oceanic"
Dot-winged Crake,Porzana spiloptera,Birds,"Argentina, Brazil, Uruguay"
Drepanolejeunea aculeata,Drepanolejeunea aculeata,Plants,Brazil
Drymaeus acervatus,Drymaeus acervatus,Snails,Brazil
Drymaeus henseli,Drymaeus henseli,Snails,Brazil
Dusky Grouper,Epinephelus marginatus,Fishes,"Africa, Europe, Middle East, South America"
Dwarf Tinamou,Taoniscus nanus,Birds,"Argentina, Brazil, Paraguay"
Ecclinusa lancifolia,Ecclinusa lancifolia,Plants,Brazil
Elias' Atlantic Spiny-rat,Trinomys eliasi,Mammals,Brazil
Elusive Antpitta,Grallaria eludens,Birds,"Brazil, Peru"
Enche-Cangalha,Dimorphandra wilsonii,Plants,Brazil
Eschweilera alvimii,Eschweilera alvimii,Plants,Brazil
Eschweilera roraimensis,Eschweilera roraimensis,Plants,"Brazil, Venezuela"
Eschweilera rodriguesiana,Eschweilera rodriguesiana,Plants,Brazil
Eschweilera rionegrense,Eschweilera rionegrense,Plants,Brazil
Eschweilera rhododendrifolia,Eschweilera rhododendrifolia,Plants,Brazil
Eschweilera rabeliana,Eschweilera rabeliana,Plants,Brazil
Eschweilera compressa,Eschweilera compressa,Plants,Brazil
Eschweilera carinata,Eschweilera carinata,Plants,Brazil
Eschweilera tetrapetala,Eschweilera tetrapetala,Plants,Brazil
Eschweilera amazonicaformis,Eschweilera amazonicaformis,Plants,Brazil
Eschweilera subcordata,Eschweilera subcordata,Plants,Brazil
Esenbeckia leiocarpa,Esenbeckia leiocarpa,Plants,Brazil
Eskimo Curlew,Numenius borealis,Birds,Alaska and Northern Canada to Argentina
Espostoopsis dybowskii,Espostoopsis dybowskii,Plants,Brazil
Eugenia prasina,Eugenia prasina,Plants,Brazil
Eugenia microcarpa,Eugenia microcarpa,Plants,Brazil
Eugenia arianae,Eugenia arianae,Plants,Brazil
Eye-ringed Tody-tyrant,Hemitriccus orbitatus,Birds,Brazil
Eyespot Skate,Atlantoraja cyclophora,Fishes,"Argentina, Brazil, Uruguay"
Facheiroa cephaliomelana,Facheiroa cephaliomelana,Plants,Brazil
Faint-striped Opossum,Monodelphis umbristriata,Mammals,Brazil
Fausto's Button Frog,Cycloramphus faustoi,Amphibians,Brazil
Few-Spined Turks-Cap Cactus,Melocactus paucispinus,Plants,Brazil
Fig Tree,Ficus blepharophylla,Plants,Brazil
Fig Tree,Ficus salzmanniana,Plants,Brazil
Fig Tree,Ficus aripuanensis,Plants,Brazil
Fig Tree,Ficus roraimensis,Plants,Brazil
Fig Tree,Ficus ramiflora,Plants,Brazil
Fig Tree,Ficus pulchella,Plants,Brazil
Fig Tree,Ficus pakkensis,Plants,"Brazil, Guyana"
Fig Tree,Ficus mexiae,Plants,Brazil
Fig Tree,Ficus cyclophylla,Plants,Brazil
Fig Tree,Ficus ursina,Plants,Brazil
Fig Tree,Ficus calyptroceras,Plants,Brazil
Fluminense Swallowtail,Parides ascanius,Insects,Brazil
Forbes's Blackbird,Curaeus forbesi,Birds,Brazil
Fork-tailed Pygmy-tyrant,Hemitriccus furcatus,Birds,Brazil
Fossorial Giant Rat,Kunsia fronto,Mammals,"Argentina, Brazil"
Four-eyed Frog,Pleurodema bibroni,Amphibians,"Brazil, Uruguay"
Fringe Tree,Chionanthus micranthus,Plants,Brazil
Fringe Tree,Chionanthus fluminensis,Plants,Brazil
Fringe Tree,Chionanthus tenuis,Plants,Brazil
Fringe Tree,Chionanthus subsessilis,Plants,Brazil
Fringe-backed Fire-eye,Pyriglena atra,Birds,Brazil
Geoffroy's Cat,Leopardus geoffroyi,Mammals,"Argentina, Bolivia, Brazil, Chile, Paraguay, Uruguay"
Geoffroy's Peruvian Woolly Monkey,Lagothrix cana,Mammals,"Bolivia, Brazil, Peru"
Giant Anteater,Myrmecophaga tridactyla,Mammals,Central and South America
Giant Armadillo,Priodontes maximus,Mammals,"Guyana to Argentina, Venezuela"
Giant Atlantic Tree Rat,Phyllomys thomasi,Mammals,Brazil
Giant Butterfly Ray,Gymnura altavela,Fishes,"Africa, Asia, Central America, Europe, Middle East, North America (including United States), South America"
Giant Otter,Pteronura brasiliensis,Mammals,South America
