,Name
656,Kraven the Hunter
657,Kree
658,Krista Starr
659,Kronos
660,Kulan Gath
661,Kylun
662,La Nuit
663,Lady Bullseye
664,Lady Deathstrike
665,Lady Mastermind
666,Lady Ursula
667,Lady Vermin
668,Lake
669,Landau
670,Lava-Man
671,Layla Miller
672,Leader
673,Leech
674,Legion
675,"Lei Kung, The Thunderer"
676,Lenny Balinger
677,Leo (Zodiac)
678,Leopardon
679,Leper Queen
680,Lester
681,Lethal Legion
682,Lieutenant Marcus Stone
683,Lifeguard
684,Lightning Lords of Nepal
685,Lightspeed
686,Lila Cheney
687,Lilandra
688,Lilith
689,Lily Hollister
690,Lionheart
691,Living Lightning
692,Living Mummy
693,Living Tribunal
694,Liz Osborn
695,Lizard
696,Lizard (Ultimate)
697,Loa
698,Lockheed
699,Lockjaw
700,Logan
701,Loki
702,Loki (LEGO Marvel Super Heroes)
703,Loners
704,Longshot
705,Longshot (Ultimate)
706,Lord Hawal
707,Lord Tyger
708,Lords of Avalon
709,Lorna Dane
710,Luckman
711,Lucky Pierre
712,Lucy in the Sky
713,Luke Cage
714,Luminals
715,Lyja
716,M (Monet St. Croix)
717,M.O.D.A.M.
718,M.O.D.O.G.
719,M.O.D.O.K.
720,M.O.D.O.K. (Iron Man 3 - The Official Game)
721,Ma Gnuci
722,Mac Gargan
723,Mach IV
724,Machine Man
725,Mad Thinker
726,Madame Hydra
727,Madame Masque
728,Madame Web (Julia Carpenter)
729,Maddog
730,Madelyne Pryor
731,Madripoor
732,Madrox
733,Maelstrom
734,Maestro
735,Magdalene
736,Maggott
737,Magik (Amanda Sefton)
738,Magik (Illyana Rasputin)
739,Maginty
740,Magma (Amara Aquilla)
741,Magneto
742,Magneto (Age of Apocalypse)
743,Magneto (House of M)
744,Magneto (Ultimate)
745,Magneto (X-Men: Battle of the Atom)
746,Magus (Adam Warlock)
747,Magus (Technarch)
748,Major Mapleleaf
749,Makkari
750,Malcolm Colcord
751,Malice (Earth-161)
752,Man-Thing
753,Man-Wolf
754,Mandarin
755,Mandrill
756,Mandroid
757,Manta
758,Mantis
759,Marauders
760,Marcus Van Sciver
761,Maria Hill
762,Mariko Yashida
763,Marrow
764,Marten Broadcloak
765,Martin Li
766,Marvel Apes
767,Marvel Boy
768,Marvel Zombies
769,Marvex
770,Mary Jane Watson
771,Mary Jane Watson (House of M)
772,Mary Jane Watson (Ultimate)
773,Masked Marvel (Unrevealed)
774,Masque
775,Master Chief
776,Master Mold
777,Mastermind
778,Masters of Evil
779,Mathemanic
780,Matsu'o Tsurayaba
781,Matthew Murdock
782,Mattie Franklin
783,Mauler
784,Maverick (Chris Bradley)
785,Maverick (Christoph Nord)
786,Maximus
787,May Parker
788,Medusa
789,Meggan
790,Meltdown
791,Menace
792,Mentallo
793,Mentor
794,Mephisto
795,Mephistopheles
796,Mercury
797,Mesmero
798,Metal Master
799,Meteorite
800,MI: 13
801,Micro/Macro
802,Microbe
803,Microchip
804,Micromax
805,Midnight (Earth-811)
806,Miek
807,Mikhail Rasputin
808,Millenium Guard
809,Millie the Model
810,Mimic
811,Mindworm
812,Miracleman
813,Miss America
814,Mister Fear
815,Mister Sinister
816,Mister Sinister (Deadpool)
817,Mister Sinister (House of M)
818,Mister Sinister (Ultimate)
819,Misty Knight
820,Mockingbird
821,Moira MacTaggert
822,Moira MacTaggert (Ultimate)
823,Mojo
824,Mole Man
825,Molecule Man
826,Molly Hayes
827,Molly Von Richtofen
828,Molten Man
829,Mongoose
830,Mongu (Unrevealed)
831,Monster Badoon
832,Moon Girl (Lunella Layfayette)
833,Moon Knight
834,Moon Knight (House of M)
835,Moon Knight (Ultimate)
836,Moondragon
837,Moonstone
838,Morbius
839,Mordo
840,Morg
841,Morgan Stark
842,Morlocks
843,Morlun
844,Morph
845,Mother Askani
846,Mr. Bumpo
847,Mr. Fantastic
848,Mr. Fantastic (Ultimate)
849,Mr. Fish
850,Mr. Fixit
851,Mr. Hyde
852,Mr. Immortal
853,Mr. Meugniot
854,Mr. Negative
855,Mr. Payback
856,Mr. X
857,Ms. Marvel (Kamala Khan)
858,MS2
859,Mulholland Black
860,Multiple Man
861,MVP
862,Mysterio
863,Mysterio (Daniel Berkhart)
864,Mysterio (Francis Klum)
865,Mystique
866,Mystique (Age of Apocalypse)
867,Mystique (House of M)
868,Mystique (Ultimate)
869,Nakia (Nakia)
870,Namor
871,Namora
872,Namorita
873,Naoko
874,Natasha Romanoff
875,Nebula
876,Nehzno
877,Nekra
878,Nemesis
879,Network
880,New Goblin
881,New Mutants
882,New Warriors
883,New X-Men
884,Newton Destine
885,Next Avengers
886,Nextwave
887,Nick Fury
888,Nick Fury (LEGO Marvel Super Heroes)
889,Nick Fury (Ultimate)
890,Nico Minoru
891,Nicolaos
892,Night Nurse (Earth-9997)
893,Night Thrasher
894,Night Thrasher (Dwayne Taylor)
895,Nightcrawler
896,Nightcrawler (Ultimate)
897,Nighthawk
898,Nightmare
899,Nightshade
900,Nine-Fold Daughters of Xao
901,Nitro
902,Nocturne
903,Nomad
904,Nomad (Rikki Barnes)
905,Nomad (Steve Rogers)
