Channel	Video_Id	Published
TheWillyrex	BcqI58LcaJ4	10/29/2019
Willyrex	RwnuGUr7K2A	07/09/2019
TheWillyrex	0siis7pKL50	11/10/2019
Willyrex	sd6RAlYrZ8A	06/18/2019
Willyrex	8NVVHOiOySk	07/18/2019
Willyrex	nsux6BE8ciM	08/27/2019
Willyrex	Mz1lIMCTb54	08/01/2019
Willyrex	jo20QQTjN90	08/01/2019
Willyrex	0GywtMQ-5zM	07/20/2019
Willyrex	hsa7mL4_wOY	10/27/2019
Willyrex	T7u_w8x_tfE	11/02/2019
Willyrex	7zFUPt8n5hM	10/15/2019
