,id,viewCount,commentCount,likeCount,dislikeCount,publishedAt,title,channelTitle
25,2MP7CHMeVjo,35918,23,103,16,2009-11-30T22:34:00.000Z,Harry Potter and the Deathly Hallows Trailer,Thraslaug
26,YlJp4Ezp6vg,3674,1,8,1,2009-12-05T07:20:01.000Z,Harry Potter and the Sorcerer&#39;s Stone trailer,pbiasizzo
27,nYtXPUcnL0E,12410,4,16,0,2009-12-05T07:21:43.000Z,Harry Potter and the Chamber of Secrets trailer,pbiasizzo
28,dWnmKirTZ2g,133478,77,352,14,2009-12-06T16:51:44.000Z,Harry Potter and the Deathly Hallows Official soundtrack and link to movie trailer,Harry Rayat
29,9CXCkL8lpnI,7552,3,68,1,2009-12-10T20:48:12.000Z,Harry Potter and the Half-Blood Prince Videogame Trailer,G4VideogameTrailers
30,VdSdWWKsUJY,6512,1,29,0,2009-12-14T12:39:19.000Z,Harry Potter und der Orden des Phönix - Trailer Deutsch [HD],GRIN
31,mefUO9eWw_k,895791,494,1106,64,2009-12-15T03:14:22.000Z,Harry Potter and The Deathly Hallows Trailer,euclideanpythagoras8
32,DbNiV6RZm6o,63215,41,160,5,2009-12-24T14:20:43.000Z,The HARRY POTTER SPELLS App - trailer,7elza7
33,aifPnseMqas,10148,59,134,16,2009-12-30T02:15:43.000Z,Harry Potter &amp; The Drunken Confessions: Spoof Movie Trailer,daretobestupidshow
34,SejO_5t89Fk,7883,0,13,1,2010-01-06T00:29:05.000Z,Harry Potter and the Goblet of Fire Game Trailer,GameTrailerschanel
35,AsIYoz-yodo,7421,3,8,1,2010-01-06T08:10:57.000Z,Harry Potter and the Deathly Hallows Official Trailer,CirqueduFreakTVAFan
36,QsZdAIaIagY,9164,3,11,0,2010-01-06T09:43:19.000Z,Harry Potter and the Deathly Hallows Official Trailer,HarryLightOne
37,haScxQMg-Mk,69611,66,276,2,2010-01-12T10:35:27.000Z,Harry Potter and the Deathly Hallows Teaser Trailer HD 1080p,MagicStrongHearts
38,ZqnMuPxmoVI,115083,32,52,54,2010-01-17T13:54:16.000Z,Harry Potter And The Deathly Hallows (official) trailer,Kotara 19
39,7x6wywUvNQU,187364,34,388,29,2010-01-17T21:17:41.000Z,Harry Potter und die Kammer des Schreckens || German || Trailer || (2002),MovieGuideCom
40,6SUPmWD70pc,18944,19,132,2,2010-01-23T21:34:40.000Z,Harry Potter and the Goblet of Fire Teaser Trailer: HD,inferi07
41,i6pjwf3fX9o,113906,67,306,13,2010-01-25T20:59:39.000Z,Harry Potter and the Chamber of Secrets game trailer,08dguy
42,EY0YEvpqNb4,34107,3,18,5,2010-02-01T10:52:28.000Z,LEGO Harry Potter: Die Jahre 1-4  Neuer Trailer zeigt Szenen aus dem zweiten Jahr,Warner Bros. DE
43,8tM8UqT5GOc,273558,75,146,7,2010-02-01T14:23:11.000Z,LEGO Harry Potter: Years 1-4 - Trailer 2 - Xbox360/PS3/Wii/PSP,PlayscopeTrailers
44,VwIrIskKS0c,148131,23,102,13,2010-02-02T22:21:44.000Z,LEGO Harry Potter: Years 1-4 &quot;Year 2&quot; Trailer,G4VideogameTrailers
45,3q9IIM3_TTA,266758,55,364,12,2010-02-04T06:49:36.000Z,Harry Potter and The Deathly Hallows Trailer Movie,Joé Tapia
46,HODZPa6SKBg,20408,0,27,0,2010-02-11T14:16:34.000Z,Official Trailer Harry Potter und der Stein der Weisen [deutsch],Annee2204
47,vnWu6TBghKQ,122990,1361,1037,26,2010-02-12T00:24:51.000Z,Harry Potter vs. Lord of the Rings Trailer,videoedits1988
48,YhpkShTjTw4,3906,15,30,9,2010-03-04T12:47:28.000Z,Harry Potter and the Deathly Hallows Trailer Official HD,forrestfire100000
49,lH5XD8Lfcxg,13813,5,8,1,2010-04-08T00:43:46.000Z,~ Harry Potter OFFICIAL Deathly Hallows Trailer ~,PureBloodMalfoys
