;YYYY-MM-DD;content;engagement;engagement/tweet
428;2012-04-02;12;1525;127,08333333333333
429;2012-04-03;9;1459;162,11111111111111
430;2012-04-04;8;963;120,375
431;2012-04-05;12;2698;224,83333333333334
432;2012-04-06;14;3249;232,07142857142858
433;2012-04-09;7;1048;149,71428571428572
434;2012-04-10;12;1716;143,0
435;2012-04-11;8;2892;361,5
436;2012-04-12;12;2185;182,08333333333334
437;2012-04-13;11;5189;471,72727272727275
438;2012-04-14;3;1036;345,3333333333333
439;2012-04-15;2;229;114,5
440;2012-04-16;6;4041;673,5
441;2012-04-17;6;546;91,0
442;2012-04-18;12;2470;205,83333333333334
443;2012-04-19;14;4117;294,07142857142856
444;2012-04-20;3;1811;603,6666666666666
445;2012-04-22;3;279;93,0
446;2012-04-23;12;2218;184,83333333333334
447;2012-04-24;8;2437;304,625
448;2012-04-25;2;224;112,0
449;2012-04-26;8;1153;144,125
450;2012-04-27;8;2206;275,75
451;2012-04-29;1;71;71,0
452;2012-04-30;10;1715;171,5
453;2012-05-01;8;1816;227,0
454;2012-05-02;10;1089;108,9
455;2012-05-03;6;755;125,83333333333333
456;2012-05-04;11;2102;191,0909090909091
457;2012-05-06;33;1076;32,60606060606061
458;2012-05-07;13;1319;101,46153846153847
459;2012-05-08;7;2122;303,14285714285717
460;2012-05-09;8;2107;263,375
461;2012-05-10;7;2089;298,42857142857144
462;2012-05-11;11;2562;232,9090909090909
463;2012-05-14;21;6937;330,3333333333333
464;2012-05-15;12;3883;323,5833333333333
465;2012-05-16;6;1237;206,16666666666666
466;2012-05-17;6;1269;211,5
467;2012-05-18;13;6215;478,0769230769231
468;2012-05-20;1;74;74,0
469;2012-05-21;15;2204;146,93333333333334
470;2012-05-22;16;4284;267,75
471;2012-05-23;10;1754;175,4
472;2012-05-24;11;4942;449,27272727272725
473;2012-05-27;1;426;426,0
474;2012-05-29;16;3077;192,3125
475;2012-05-30;22;13639;619,9545454545455
476;2012-05-31;11;4624;420,3636363636364
477;2012-06-01;17;3405;200,2941176470588
478;2012-06-02;1;48;48,0
479;2012-06-03;4;1197;299,25
480;2012-06-04;10;1687;168,7
481;2012-06-05;9;1393;154,77777777777777
482;2012-06-06;9;4630;514,4444444444445
483;2012-06-07;8;948;118,5
484;2012-06-08;12;3832;319,3333333333333
485;2012-06-09;6;398;66,33333333333333
486;2012-06-11;16;2590;161,875
487;2012-06-12;14;6459;461,35714285714283
488;2012-06-13;11;2613;237,54545454545453
489;2012-06-14;8;4476;559,5
490;2012-06-15;9;2025;225,0
491;2012-06-18;13;2776;213,53846153846155
492;2012-06-19;6;1814;302,3333333333333
493;2012-06-20;8;4833;604,125
494;2012-06-21;11;3234;294,0
495;2012-06-22;9;1311;145,66666666666666
496;2012-06-25;9;2523;280,3333333333333
497;2012-06-26;10;2548;254,8
498;2012-06-27;6;5246;874,3333333333334
499;2012-06-28;10;5110;511,0
500;2012-06-29;11;2302;209,27272727272728
501;2012-07-02;9;1898;210,88888888888889
502;2012-07-03;21;5269;250,9047619047619
503;2012-07-05;15;13553;903,5333333333333
504;2012-07-06;6;6087;1014,5
505;2012-07-07;1;79;79,0
506;2012-07-09;2;203;101,5
507;2012-07-10;12;17024;1418,6666666666667
508;2012-07-11;13;6088;468,3076923076923
509;2012-07-12;6;2651;441,8333333333333
510;2012-07-13;25;9928;397,12
511;2012-07-16;12;1701;141,75
512;2012-07-17;20;31834;1591,7
513;2012-07-18;21;19977;951,2857142857143
514;2012-07-19;15;6095;406,3333333333333
515;2012-07-20;11;5525;502,27272727272725
516;2012-07-23;16;6768;423,0
517;2012-07-24;9;1538;170,88888888888889
518;2012-07-25;17;4524;266,11764705882354
519;2012-07-26;2;1446;723,0
520;2012-07-27;13;13092;1007,0769230769231
521;2012-07-30;12;7717;643,0833333333334
522;2012-07-31;14;5011;357,92857142857144
523;2012-08-01;13;8188;629,8461538461538
524;2012-08-02;11;2162;196,54545454545453
525;2012-08-06;17;52051;3061,823529411765
526;2012-08-07;20;6189;309,45
527;2012-08-08;15;2744;182,93333333333334
528;2012-08-09;20;6856;342,8
529;2012-08-10;17;3365;197,94117647058823
530;2012-08-13;18;3406;189,22222222222223
531;2012-08-14;12;2548;212,33333333333334
532;2012-08-15;16;3464;216,5
533;2012-08-16;22;25861;1175,5
534;2012-08-17;19;11518;606,2105263157895
535;2012-08-20;16;1290;80,625
536;2012-08-21;21;13703;652,5238095238095
537;2012-08-22;15;7921;528,0666666666667
538;2012-08-23;19;6136;322,94736842105266
539;2012-08-24;19;12946;681,3684210526316
540;2012-08-27;22;7038;319,90909090909093
541;2012-08-28;23;22404;974,0869565217391
542;2012-08-29;13;4294;330,3076923076923
543;2012-08-30;16;6126;382,875
544;2012-08-31;13;4494;345,6923076923077
545;2012-09-01;2;563;281,5
546;2012-09-02;4;902;225,5
547;2012-09-04;26;9461;363,88461538461536
548;2012-09-05;21;67490;3213,809523809524
549;2012-09-06;14;6565;468,92857142857144
550;2012-09-07;14;8605;614,6428571428571
551;2012-09-10;13;6131;471,61538461538464
552;2012-09-11;20;12861;643,05
553;2012-09-12;22;13602;618,2727272727273
554;2012-09-13;26;16476;633,6923076923077
555;2012-09-14;19;5764;303,36842105263156
556;2012-09-17;37;23675;639,8648648648649
557;2012-09-18;21;6080;289,5238095238095
558;2012-09-19;20;5649;282,45
559;2012-09-20;15;2110;140,66666666666666
560;2012-09-21;12;15331;1277,5833333333333
561;2012-09-24;23;10015;435,4347826086956
562;2012-09-25;29;5865;202,24137931034483
563;2012-09-26;29;17538;604,7586206896551
564;2012-09-27;26;8438;324,53846153846155
565;2012-09-28;20;5039;251,95
566;2012-10-01;27;7047;261,0
567;2012-10-02;23;13490;586,5217391304348
568;2012-10-03;31;22244;717,5483870967741
569;2012-10-04;18;5822;323,44444444444446
570;2012-10-05;8;1223;152,875
571;2012-10-08;21;122196;5818,857142857143
572;2012-10-09;22;58781;2671,8636363636365
573;2012-10-10;24;17871;744,625
574;2012-10-11;34;51440;1512,9411764705883
575;2012-10-12;21;6401;304,8095238095238
576;2012-10-13;9;8561;951,2222222222222
577;2012-10-14;11;235704;21427,636363636364
578;2012-10-15;35;27445;784,1428571428571
579;2012-10-16;53;158806;2996,3396226415093
580;2012-10-17;52;180189;3465,173076923077
581;2012-10-18;40;48754;1218,85
582;2012-10-19;48;32714;681,5416666666666
583;2012-10-20;3;2570;856,6666666666666
584;2012-10-21;3;1193;397,6666666666667
585;2012-10-22;60;216135;3602,25
586;2012-10-23;29;19013;655,6206896551724
587;2012-10-24;18;22189;1232,7222222222222
588;2012-10-25;29;12874;443,9310344827586
589;2012-10-26;51;19216;376,7843137254902
590;2012-10-27;6;4123;687,1666666666666
591;2012-10-28;14;21393;1528,0714285714287
592;2012-10-29;10;11800;1180,0
593;2012-10-30;33;71108;2154,787878787879
594;2012-10-31;33;19661;595,7878787878788
595;2012-11-01;13;8549;657,6153846153846
596;2012-11-02;41;23010;561,219512195122
597;2012-11-03;6;4996;832,6666666666666
598;2012-11-04;11;8924;811,2727272727273
599;2012-11-05;41;20455;498,9024390243902
600;2012-11-06;51;691074;13550,470588235294
601;2012-11-07;27;95129;3523,296296296296
602;2012-11-08;20;23697;1184,85
603;2012-11-09;20;11508;575,4
604;2012-11-10;10;30435;3043,5
605;2012-11-11;2;5431;2715,5
606;2012-11-12;24;7609;317,0416666666667
607;2012-11-13;18;26432;1468,4444444444443
608;2012-11-14;18;11417;634,2777777777778
609;2012-11-15;35;13813;394,65714285714284
610;2012-11-16;9;2405;267,22222222222223
611;2012-11-19;40;53274;1331,85
612;2012-11-20;34;13881;408,2647058823529
613;2012-11-21;16;22676;1417,25
614;2012-11-24;4;33662;8415,5
615;2012-11-26;19;7090;373,1578947368421
616;2012-11-27;21;11619;553,2857142857143
617;2012-11-28;32;10273;321,03125
618;2012-11-29;26;17200;661,5384615384615
619;2012-11-30;22;2331;105,95454545454545
620;2012-12-03;34;5587;164,3235294117647
621;2012-12-04;29;3815;131,55172413793105
622;2012-12-05;37;9458;255,6216216216216
623;2012-12-06;55;13734;249,70909090909092
624;2012-12-07;27;7809;289,22222222222223
625;2012-12-10;38;41468;1091,2631578947369
626;2012-12-11;26;8777;337,5769230769231
627;2012-12-12;22;13959;634,5
628;2012-12-13;6;194;32,333333333333336
629;2012-12-14;1;221;221,0
630;2012-12-15;2;1867;933,5
631;2012-12-17;11;26200;2381,818181818182
632;2012-12-18;11;13449;1222,6363636363637
633;2012-12-19;21;5674;270,1904761904762
634;2012-12-20;37;5981;161,64864864864865
635;2012-12-21;23;4519;196,47826086956522
636;2012-12-23;18;158;8,777777777777779
637;2012-12-24;1;1123;1123,0
638;2012-12-26;7;1276;182,28571428571428
639;2012-12-27;10;2145;214,5
640;2012-12-28;36;8938;248,27777777777777
