,date,future,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo
107,2017-02-27,False,Voters,44.77391,49.93987,39.60795,49.68867,54.59674,44.78059
108,2017-02-28,False,Adults,41.92185,46.14059,37.7031,50.75521,55.67918,45.83124
109,2017-02-28,False,All polls,42.93886,47.79404,38.08368,50.21992,55.00761,45.43224
110,2017-02-28,False,Voters,44.69143,49.87772,39.50513,49.79915,54.73494,44.86337
111,2017-03-01,False,Adults,42.93229,47.20044,38.66414,50.10905,54.72215,45.49596
112,2017-03-01,False,All polls,43.75505,48.47799,39.03212,49.75748,54.34694,45.16802
113,2017-03-01,False,Voters,45.15903,50.19463,40.12343,49.53156,54.37161,44.69152
114,2017-03-02,False,Adults,42.74433,46.98483,38.50384,50.39036,54.90135,45.87937
115,2017-03-02,False,All polls,43.71027,48.49278,38.92776,49.87239,54.40887,45.33591
116,2017-03-02,False,Voters,45.23322,50.25408,40.21236,49.77825,54.56505,44.99146
117,2017-03-03,False,Adults,42.9674,47.17238,38.76241,50.43211,54.88548,45.97874
118,2017-03-03,False,All polls,43.90226,48.6751,39.12943,49.85654,54.37281,45.34027
119,2017-03-03,False,Voters,45.63852,50.65363,40.62341,49.62764,54.40191,44.85337
120,2017-03-04,False,Adults,42.9674,47.17238,38.76241,50.43211,54.88548,45.97874
121,2017-03-04,False,All polls,43.90226,48.6751,39.12943,49.85654,54.37281,45.34027
122,2017-03-04,False,Voters,45.63852,50.65363,40.62341,49.62764,54.40191,44.85337
123,2017-03-05,False,Adults,43.00411,47.25905,38.74918,50.26909,54.7504,45.78778
124,2017-03-05,False,All polls,43.93693,48.76372,39.11013,49.72623,54.27249,45.17998
125,2017-03-05,False,Voters,45.63852,50.65363,40.62341,49.62764,54.40191,44.85337
126,2017-03-06,False,Adults,43.51528,47.50908,39.52149,49.41735,53.87724,44.95747
127,2017-03-06,False,All polls,44.08371,48.69637,39.47105,49.29635,53.78793,44.80477
128,2017-03-06,False,Voters,45.36596,50.36006,40.37185,48.83812,53.65353,44.02271
129,2017-03-07,False,Adults,43.68052,47.77182,39.58922,49.24304,53.76972,44.71636
130,2017-03-07,False,All polls,44.3455,48.87922,39.81178,48.89124,53.46196,44.32052
131,2017-03-07,False,Voters,45.46577,50.29033,40.64122,48.28428,53.04988,43.51868
132,2017-03-08,False,Adults,43.52806,47.62445,39.43167,49.65459,54.15749,45.15169
133,2017-03-08,False,All polls,44.33974,48.90763,39.77184,49.15517,53.72889,44.58145
134,2017-03-08,False,Voters,45.37472,50.1804,40.56905,48.55411,53.31239,43.79584
135,2017-03-09,False,Adults,43.41724,47.52428,39.3102,49.70358,54.20479,45.20238
136,2017-03-09,False,All polls,44.25294,48.83014,39.67575,49.22272,53.79013,44.65532
137,2017-03-09,False,Voters,45.35116,50.14901,40.55331,48.61091,53.3605,43.86132
138,2017-03-10,False,Adults,43.9422,48.24376,39.64064,49.21457,53.79547,44.63366
139,2017-03-10,False,All polls,44.51029,49.12762,39.89296,49.00035,53.60986,44.39085
140,2017-03-10,False,Voters,45.5193,50.33577,40.70283,48.62363,53.38221,43.86504
141,2017-03-11,False,Adults,44.2165,48.54074,39.89226,48.96644,53.50496,44.42792
142,2017-03-11,False,All polls,44.6835,49.29448,40.07253,48.83847,53.42355,44.2534
143,2017-03-11,False,Voters,45.73587,50.55025,40.92148,48.4897,53.1647,43.8147
144,2017-03-12,False,Adults,44.32833,48.67724,39.97943,48.88358,53.44093,44.32623
145,2017-03-12,False,All polls,44.76669,49.39057,40.14281,48.7696,53.37308,44.16611
146,2017-03-12,False,Voters,45.73587,50.55025,40.92148,48.4897,53.1647,43.8147
147,2017-03-13,False,Adults,44.10419,48.49052,39.71787,48.99449,53.57737,44.41162
148,2017-03-13,False,All polls,44.53927,49.17732,39.90122,48.95186,53.59417,44.30956
149,2017-03-13,False,Voters,45.58329,50.42994,40.73663,48.65232,53.42555,43.87909
150,2017-03-14,False,Adults,43.82244,48.24846,39.39643,49.54628,54.1033,44.98926
151,2017-03-14,False,All polls,44.29615,48.92532,39.66698,49.32653,53.95638,44.69668
152,2017-03-14,False,Voters,45.47269,50.2247,40.72068,49.06578,53.79823,44.33332
153,2017-03-15,False,Adults,43.43536,47.89869,38.97202,49.8028,54.29678,45.30881
154,2017-03-15,False,All polls,43.732,48.34158,39.12242,49.82358,54.37471,45.27245
155,2017-03-15,False,Voters,44.59151,49.29085,39.89216,49.70044,54.3433,45.05758
156,2017-03-16,False,Adults,43.24698,47.57337,38.92059,51.14386,56.14853,46.13919
157,2017-03-16,False,All polls,43.59192,48.14231,39.04153,50.67634,55.53901,45.81367
158,2017-03-16,False,Voters,44.63105,49.32425,39.93784,49.73156,54.35492,45.1082
159,2017-03-17,False,Adults,42.80822,46.93233,38.6841,51.36173,56.22272,46.50073
160,2017-03-17,False,All polls,43.36182,47.80959,38.91404,50.8023,55.57342,46.03117
161,2017-03-17,False,Voters,44.47798,49.07936,39.8766,50.08054,54.69834,45.46274
162,2017-03-18,False,Adults,41.87791,46.41851,37.33731,52.33651,57.45996,47.21305
163,2017-03-18,False,All polls,42.70947,47.44154,37.97739,51.48524,56.47866,46.49182
